id,psu,country,splita,splitb,wave,q1,a1,q13,wt,stratum,sample,mode,Q1001,Q1001GCC,Q1002,Q100,Q2061A,Q2061B,Q101,Q101A,Q102,Q108_1,Q108_2,Q108_3,Q108_4,Q109AGCC_1,Q109AGCC_2,Q104,Q104A,Q104A_1,Q104A_2,Q104A_3,Q104A_4,Q104A_5,Q104A_6,Q104A_7,Q104A_8,Q104A_98,Q104A_99,Q104B_KSA,Q104B_UAE,Q104B_QA,Q104B_BA,Q104B_KU,Q104B_OM,Q104B_EG,Q104B_JO,Q104B_LEB,Q104B_MO,Q104B_AL,Q104B_TUN,Q104B_TUR,Q104B_US,Q104B_CAN,Q104B_UK,Q104B_EEU,Q104B_FR,Q104B_GER,Q104B_ESP,Q104B_IT,Q104B_WEUOTHER,Q104B_SSA,Q104B_OTHER,Q104B_DK,Q104B_REF,Q104B_WEU,Q104C,Q105,Q103,Q201A_1,Q201A_2,Q201A_3,Q201A_5,Q201A_41,Q201A_42,Q201A_7,Q201B_6,Q201B_13,Q201B_20,Q201B_31,Q201B_12,Q201C_37,Q201C_38,Q201C_39,Q201C_32,Q201C_32GCC,Q201C_40,Q513,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q204_22,Q204B_13,Q204B_15,Q204C_13,Q204C_15,Q205_1,Q205_4,Q205_4LEB,Q205_6,Q205_7,Q214,Q211D,Q209B,Q210,Q211,Q211A,Q211B,Q211C,Q213B,Q213A_1,Q213A_2,Q213A_3,Q209,Q216,Q218_2,Q218_5,Q218_6,Q501,Q501A,Q266,Q502_1,Q502_2,Q502_4,Q265,Q263,Q404,Q301A,Q301B,Q301BGCC,Q303A,Q302,Q503A,Q505A,Q301C,Q601A,Q516A,Q515A2,Q511,Q512,Q514,Q514A,Q523GCC,Q516_1,Q516_2,Q516_3,Q516_4,Q423_1,Q423_2,Q423_3,Q409,Q424,Q412A3,Q412A4,Q412A6,Q412A7,Q412A8,Q412A9,Q412A10,Q412A14,Q412A98,Q412A99,Q421,Q521_1,Q521_4,Q521_5,Q521A_3,Q521A_4,Q852,Q853A,Q853B,Q854,Q855A,Q855B,Q851_E1,Q851_E2,Q851A,Q851B,Q851C,Q851D_1,Q851D_2,Q851D_3,Q851D_4,Q851D_5,Q851D_6,Q851D_7,Q851D_98,Q851D_99,Q860A,Q860B,Q860C,Q860D,Q1012,Q1012A,Q609,Q609A,Q610_8,Q610_5A,Q610_5B,Q610_6A,Q610_6B,Q610_9,Q601_1,Q601_3,Q601_4,Q601_7,Q601_9,Q601_9A,Q601_14,Q601_18,Q601_20,Q602_1,Q602_2,Q602_3,Q602_4A,Q602_4B,Q604A_1,Q604A_3,Q604B_1,Q604B_3,Q604_1,Q604_3,Q604_6,Q604_7,Q606_1,Q606_2,Q606_3,Q606_4,Q606_8,Q607_2,Q607_6,Q607_7,Q605,Q605A_1,Q605A_2,Q605A_3,Q605A_4,Q605B,Q700A_1,Q700A_2,Q700A_8,Q700A_9,Q700A_4,Q700A_3,Q700A_13,Q700A_12,Q701C_1,Q701C_2,Q701C_3,Q701C_4,Q701C_5,Q701C_6,Q701F_1,Q701F_2,Q701F_3,Q701G_1,Q701G_2,Q701G_3,Q701G_4,Q701G_5,Q701H,Q703,Q705,Q706A,Q706B,Q707,Q707_1,Q707_2,Q707_3,Q707_4,Q707_5,Q707_6,Q707_7,Q707_8,Q725_1,Q725_2,Q725_3,Q725_4,Q709B,Q7141A,Q7141B,Q833,Q841,Q1003GCCA,Q1003,Q1020JO,Q1001A,Q1001B,Q1001C,Q1001D,Q1005,Q1006,Q1006A,Q1006A_GCC,Q1006C,Q1006C_GCC,Q1006C_GCC1,Q1006D,Q1006E,Q1006F_1,Q1006F,Q1006G,Q1010,Q1010C,Q1010B1,Q1010B2,Q1018,Q1018A,Q1018B,Q1018C,Q1018D,Q1018E,Q1018F,Q1014A,Q1015A_LEB,Q1015B_LEB,Q1015C_LEB,Q1015A_JO,Q1015B_JO,Q1015C_JO,Q1015A_PAL,Q1015B_PAL,Q1015C_PAL,Q1015A_MO,Q1015B_MO,Q1015C_MO,Q1015A_TUN,Q1015B_TUN,Q1015C_TUN,Q1015A_EG,Q1015B_EG,Q1015C_EG,Q1015A_SUD,Q1015B_SUD,Q1015C_SUD,Q1015_YEM,Q1015A_YEM,Q1015A_IR,Q1015B_IR,Q1015C_IR,Q1015A_AL,Q1015B_AL,Q1015C_AL,Q1015A_LI,Q1015B_LI,Q1015C_LI,Q1015A_KU,Q1015B_KU,Q1015C_KU,Q1015A_QA,Q1015B_QA,Q1015C_QA,Q1016,Q1017,E2001B
1695.0,212.0,21.0,1.0,1.0,5.0,210015.0,210001.0,2.0,1.9177357251751905,28.0,1.0,1.0,26.0,,1.0,2.0,1.0,14.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,,,,,,,5.0,3.0,1.0,3.0,3.0,2.0,3.0,,2.0,3.0,,,2.0,2.0,,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,2.0,,,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,4.0,2.0,2.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,2.0,,,,1.0,98.0,3.0,5.0,1.0,1.0,,3.0,,3.0,2.0,2.0,3.0,,2.0,,2.0,2.0,,5.0,3.0,3.0,3.0,,4.0,4.0,,,,,,,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,3.0,2.0,2.0,,,,,,,,,4.0,4.0,2.0,,3.0,4.0,,2.0,1.0,,4.0,,210022.0,10.0,3.0,1.0,1.0,1.0,2.0,,6.0,,,1.0,1.0,,,,1.0,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
1618.0,203.0,21.0,1.0,2.0,5.0,210015.0,210001.0,1.0,1.9031227563455797,27.0,1.0,1.0,26.0,,2.0,2.0,11.0,6.0,3.0,2.0,5.0,98.0,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,98.0,2.0,2.0,4.0,4.0,4.0,4.0,,,,,,,0.0,2.0,2.0,3.0,4.0,3.0,4.0,,98.0,3.0,,,2.0,2.0,,3.0,98.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,,3.0,2.0,210004.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,,,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,2.0,3.0,2.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,0.0,,,1.0,13.0,3.0,2.0,4.0,5.0,,1.0,,4.0,2.0,2.0,3.0,,2.0,,2.0,3.0,,3.0,3.0,3.0,3.0,,4.0,3.0,,,,,,,1.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,,,,,,2.0,3.0,98.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,98.0,3.0,,,2.0,4.0,1.0,1.0,1.0,98.0,2.0,2.0,1.0,1.0,,98.0,2.0,2.0,,,,,,,,,4.0,4.0,2.0,,3.0,98.0,,2.0,2.0,,6.0,,210016.0,4.0,2.0,1.0,7.0,,,,,,,,,,,,1.0,,,,0.0,,,,,,,3.0,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
1642.0,206.0,21.0,1.0,3.0,5.0,210015.0,210001.0,1.0,0.5968904120525685,27.0,1.0,1.0,46.0,,2.0,2.0,1.0,15.0,4.0,5.0,98.0,98.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,98.0,4.0,98.0,4.0,4.0,3.0,3.0,98.0,2.0,4.0,4.0,4.0,4.0,,,,,,,98.0,4.0,4.0,4.0,4.0,2.0,4.0,,98.0,4.0,,,3.0,98.0,,3.0,97.0,2.0,1.0,1.0,98.0,,,3.0,,2.0,1.0,1.0,1.0,98.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,,,2.0,2.0,210001.0,98.0,1.0,2.0,3.0,3.0,3.0,6.0,2.0,,,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,98.0,2.0,3.0,98.0,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,0.0,1.0,15.0,98.0,6.0,98.0,5.0,,1.0,,4.0,2.0,3.0,3.0,,3.0,,3.0,3.0,,3.0,3.0,3.0,3.0,,4.0,4.0,,,,,,,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,,,,,,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,3.0,,3.0,98.0,98.0,,,,,,,,,4.0,98.0,98.0,,3.0,4.0,,1.0,3.0,,3.0,,210015.0,20.0,3.0,2.0,4.0,,,,,,,,,2.0,,,4.0,,1.0,4.0,0.0,,,,,,,0.0,,,,,,,,,,,,,2.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,98.0,,
1739.0,218.0,21.0,2.0,1.0,5.0,210015.0,210001.0,2.0,1.0820939406252092,28.0,1.0,1.0,22.0,,1.0,2.0,1.0,97.0,4.0,1.0,5.0,,,,,,,1.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,,,,,,1.0,3.0,4.0,4.0,,4.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,,,,4.0,4.0,2.0,2.0,,3.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,,4.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,,1.0,,3.0,2.0,999997.0,2.0,2.0,4.0,2.0,3.0,3.0,0.0,,2.0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,,1.0,4.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,0.0,,,,1.0,98.0,1.0,1.0,,5.0,,1.0,,,4.0,2.0,3.0,,,3.0,3.0,2.0,,1.0,5.0,5.0,5.0,,,,2.0,4.0,,,,,2.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,3.0,,3.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,4.0,2.0,4.0,,,,,,,,,4.0,98.0,98.0,,3.0,,15.0,1.0,1.0,,3.0,,210015.0,21.0,3.0,2.0,2.0,2.0,2.0,,7.0,,,2.0,,,2.0,,1.0,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,
1679.0,210.0,21.0,1.0,1.0,5.0,210015.0,210001.0,1.0,0.6014735851331986,27.0,1.0,1.0,45.0,,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,4.0,3.0,98.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,6.0,3.0,3.0,3.0,3.0,2.0,3.0,,98.0,3.0,,,2.0,97.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,,,1.0,2.0,210001.0,2.0,2.0,2.0,3.0,4.0,5.0,7.0,2.0,,,2.0,2.0,3.0,2.0,3.0,2.0,1.0,6.0,,,,,,,,,,,,5.0,1.0,1.0,2.0,3.0,2.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,0.0,,,,1.0,5.0,2.0,6.0,4.0,1.0,,2.0,,5.0,2.0,98.0,3.0,,3.0,,2.0,3.0,,3.0,3.0,3.0,3.0,,4.0,4.0,,,,,,,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,98.0,98.0,98.0,,,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,1.0,,2.0,2.0,98.0,,,,,,,,,4.0,3.0,2.0,,3.0,1.0,,2.0,2.0,,4.0,,210015.0,2.0,2.0,2.0,2.0,1.0,2.0,,3.0,,,,,1.0,2.0,,1.0,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
1754.0,220.0,21.0,1.0,1.0,5.0,210015.0,210001.0,2.0,1.610772776440012,28.0,1.0,1.0,20.0,,2.0,2.0,2.0,14.0,4.0,2.0,98.0,2.0,3.0,2.0,2.0,,,1.0,5.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,,,,,,,0.0,3.0,3.0,3.0,4.0,4.0,4.0,,4.0,3.0,,,2.0,4.0,,98.0,98.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,,,3.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,10.0,2.0,,,3.0,3.0,3.0,98.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,4.0,3.0,2.0,,,,,,,4.0,1.0,2.0,,,,,,,,,,,,0.0,,,,1.0,98.0,1.0,5.0,3.0,5.0,,2.0,,4.0,2.0,3.0,3.0,,3.0,,1.0,2.0,,3.0,3.0,3.0,3.0,,4.0,1.0,,,,,,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,98.0,98.0,,,98.0,4.0,1.0,1.0,1.0,98.0,1.0,98.0,1.0,3.0,,3.0,2.0,2.0,,,,,,,,,4.0,98.0,98.0,,3.0,4.0,,3.0,1.0,,4.0,,210001.0,20.0,2.0,1.0,5.0,,,,,,,,,1.0,2.0,,1.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
1566.0,196.0,21.0,1.0,2.0,5.0,210015.0,210001.0,1.0,0.5968904120525685,27.0,1.0,1.0,54.0,,2.0,2.0,2.0,11.0,4.0,5.0,98.0,2.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,,,,,,,1.0,4.0,2.0,4.0,4.0,4.0,3.0,,98.0,4.0,,,2.0,1.0,,3.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,,2.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,,,3.0,2.0,999997.0,98.0,2.0,3.0,1.0,4.0,2.0,0.0,3.0,,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,6.0,,,,,,,,,,,,5.0,2.0,4.0,4.0,2.0,3.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,0.0,,,1.0,98.0,2.0,5.0,1.0,5.0,,2.0,,5.0,1.0,2.0,2.0,,2.0,,2.0,2.0,,3.0,1.0,2.0,3.0,,4.0,4.0,,,,,,,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,,,,,,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,,,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,2.0,2.0,,,,,,,,,4.0,4.0,5.0,,3.0,12.0,,4.0,1.0,,2.0,,210015.0,24.0,2.0,1.0,4.0,,,,,,,,,2.0,,,4.0,,1.0,2.0,1.0,3.0,,4.0,,4.0,,2.0,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
1716.0,215.0,21.0,1.0,2.0,5.0,210015.0,210001.0,2.0,0.6343742327787343,28.0,1.0,1.0,34.0,,2.0,2.0,1.0,97.0,3.0,4.0,98.0,1.0,98.0,98.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,2.0,98.0,98.0,98.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,,,,,,,0.0,2.0,3.0,3.0,3.0,2.0,3.0,,98.0,98.0,,,2.0,97.0,,98.0,98.0,2.0,1.0,3.0,1.0,98.0,98.0,1.0,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,,,98.0,2.0,999997.0,3.0,2.0,2.0,3.0,3.0,5.0,6.0,2.0,,,98.0,98.0,98.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,98.0,98.0,3.0,2.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,1.0,98.0,2.0,6.0,2.0,5.0,,3.0,,5.0,2.0,2.0,3.0,,3.0,,2.0,3.0,,2.0,3.0,3.0,3.0,,3.0,3.0,,,,,,,1.0,2.0,3.0,2.0,2.0,3.0,2.0,98.0,3.0,,,,,,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,,98.0,4.0,98.0,1.0,98.0,98.0,98.0,98.0,1.0,1.0,,98.0,98.0,98.0,,,,,,,,,98.0,98.0,98.0,,98.0,12.0,,3.0,1.0,,3.0,,210015.0,12.0,2.0,2.0,7.0,,,,,,,,,,,,4.0,,1.0,2.0,0.0,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
1678.0,210.0,21.0,1.0,3.0,5.0,210015.0,210001.0,1.0,0.5968904120525685,27.0,1.0,1.0,50.0,,2.0,98.0,6.0,1.0,3.0,98.0,2.0,98.0,98.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,98.0,2.0,4.0,2.0,98.0,2.0,98.0,1.0,1.0,4.0,2.0,2.0,,,,,,,8.0,1.0,3.0,3.0,98.0,2.0,4.0,,1.0,2.0,,,2.0,2.0,,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,98.0,4.0,1.0,,,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,8.0,98.0,1.0,,,4.0,98.0,4.0,1.0,2.0,3.0,1.0,6.0,,,,,,,,,,,,5.0,1.0,1.0,2.0,4.0,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,13.0,2.0,5.0,1.0,5.0,,3.0,,4.0,1.0,1.0,4.0,,4.0,,1.0,3.0,,5.0,3.0,3.0,3.0,,4.0,4.0,,,,,,,1.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,,,,,,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,2.0,2.0,2.0,2.0,,,98.0,1.0,98.0,98.0,1.0,98.0,2.0,98.0,98.0,1.0,,4.0,2.0,98.0,,,,,,,,,4.0,98.0,98.0,,3.0,2.0,,1.0,1.0,,2.0,,210004.0,25.0,3.0,2.0,4.0,,,,,,,,,2.0,,,4.0,,1.0,4.0,0.0,,,,,,,1.0,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
1733.0,217.0,21.0,2.0,1.0,5.0,210015.0,210001.0,2.0,2.1641878812504185,28.0,1.0,1.0,19.0,,1.0,2.0,1.0,14.0,4.0,5.0,98.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,,,,,,2.0,2.0,2.0,1.0,,4.0,0.0,4.0,3.0,4.0,4.0,1.0,4.0,,,,3.0,4.0,1.0,1.0,,2.0,2.0,2.0,2.0,3.0,1.0,2.0,98.0,,4.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,,1.0,,3.0,2.0,999997.0,98.0,2.0,3.0,2.0,98.0,6.0,6.0,,1.0,,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,4.0,98.0,4.0,4.0,99.0,,1.0,4.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,0.0,,,,1.0,98.0,3.0,98.0,5.0,5.0,,4.0,,5.0,2.0,99.0,98.0,,,4.0,2.0,2.0,,2.0,2.0,3.0,2.0,,,,4.0,2.0,,,,,99.0,99.0,99.0,98.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,98.0,2.0,1.0,3.0,98.0,1.0,1.0,1.0,,3.0,,98.0,1.0,3.0,98.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,,2.0,2.0,2.0,3.0,,,,,,,,,4.0,4.0,4.0,,3.0,,1.0,4.0,2.0,,4.0,,210015.0,19.0,3.0,1.0,5.0,,,,,,,,,2.0,,,1.0,,,,0.0,,,,,,,3.0,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,
1676.0,210.0,21.0,1.0,2.0,5.0,210015.0,210001.0,1.0,0.6343742327787343,27.0,1.0,1.0,25.0,,2.0,98.0,98.0,15.0,3.0,5.0,98.0,3.0,4.0,3.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,98.0,4.0,3.0,98.0,2.0,2.0,2.0,98.0,4.0,98.0,98.0,,,,,,,5.0,2.0,2.0,3.0,3.0,2.0,4.0,,2.0,2.0,,,2.0,2.0,,98.0,98.0,2.0,1.0,98.0,98.0,,,4.0,,1.0,1.0,1.0,1.0,98.0,98.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,98.0,98.0,4.0,2.0,,,98.0,2.0,999997.0,98.0,2.0,2.0,3.0,3.0,8.0,9.0,2.0,,,2.0,3.0,3.0,2.0,3.0,1.0,1.0,6.0,,,,,,,,,,,,5.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,0.0,,,1.0,98.0,2.0,6.0,5.0,5.0,,4.0,,5.0,2.0,2.0,3.0,,3.0,,2.0,2.0,,3.0,3.0,3.0,3.0,,4.0,4.0,,,,,,,98.0,98.0,98.0,98.0,98.0,3.0,2.0,98.0,3.0,,,,,,2.0,2.0,98.0,98.0,98.0,98.0,98.0,98.0,2.0,98.0,98.0,98.0,,,98.0,4.0,98.0,98.0,98.0,98.0,98.0,1.0,5.0,1.0,,98.0,2.0,98.0,,,,,,,,,98.0,98.0,98.0,,98.0,1.0,,98.0,98.0,,4.0,,210015.0,7.0,3.0,2.0,4.0,,,,,,,,,1.0,2.0,,4.0,,1.0,2.0,0.0,,,,,,,1.0,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
